id,name
0,a video of a ballet leg single
1,a video of a ballet leg alternate
2,a video of a ballet leg double
3,a video of a twist
4,a video of spinning
5,a video of twirling
6,a video of a twist spin
7,a video of a spin up
8,a video of a combined spin
9,a video of continuous spinning
10,a video of a boost action
11,a video of a cadence action
12,a video of a crane action
13,a video of an ibis action
14,a video of an Eiffel Tower action
15,a video of a Catalina action
16,a video of a Catalac action
17,a video of a helicopter action
18,a video of a flamingo action
19,a video of a flamingo bent knee
20,a video of a stingray action
21,a video of a Rio straight leg
22,a video of a manta ray action
23,a video of a knight action
24,a video of a London action
25,a video of a swan action
26,a video of a swanita action
27,a video of an albatross action
28,a video of a goeland action
29,a video of a barracuda action
30,a video of a blossom action
31,a video of a somersault back pike
32,a video of a barracuda bent knee
33,a video of a flying fish action
34,a video of a barracuda airborne split action
35,a video of a somersault back tuck
36,a video of a kip action
37,a video of a seagull action
38,a video of a Kip bent knee
39,a video of a kip-swirl action
40,a video of a somersault front pike
41,a video of an elevator action
42,a video of a somersub action
43,a video of an aurora action
44,a video of a subalina action
45,a video of a subilarc action
46,a video of a ballerina action
47,a video of a lagoon action
48,a video of a Gaviata action
49,a video of a heron action
50,a video of a butterfly action
51,a video of a Neptunus action
52,a video of a Catalina reverse
53,a video of a side fishtail split
54,a video of a Minerva action
55,a video of a porpoise action
56,a video of a front Ariana
57,a video of a walkover front
58,a video of a prawn action
59,a video of a water drop action
60,a video of a cyclone action
61,a video of an Ipanema action
62,a video of a Saturn action
63,a music suitable for a ballet leg single
64,a music suitable for a ballet leg alternate
65,a music suitable for a ballet leg double
66,a music suitable for a twist
67,a music suitable for spinning
68,a music suitable for twirling
69,a music suitable for a twist spin
70,a music suitable for a spin up
71,a music suitable for a combined spin
72,a music suitable for continuous spinning
73,a music suitable for a boost action
74,a music suitable for a cadence action
75,a music suitable for a crane action
76,a music suitable for an ibis action
77,a music suitable for an Eiffel Tower action
78,a music suitable for a Catalina action
79,a music suitable for a Catalac action
80,a music suitable for a helicopter action
81,a music suitable for a flamingo action
82,a music suitable for a flamingo bent knee
83,a music suitable for a stingray action
84,a music suitable for a Rio straight leg
85,a music suitable for a manta ray action
86,a music suitable for a knight action
87,a music suitable for a London action
88,a music suitable for a swan action
89,a music suitable for a swanita action
90,a music suitable for an albatross action
91,a music suitable for a goeland action
92,a music suitable for a barracuda action
93,a music suitable for a blossom action
94,a music suitable for a somersault back pike
95,a music suitable for a barracuda bent knee
96,a music suitable for a flying fish action
97,a music suitable for a barracuda airborne split action
98,a music suitable for a somersault back tuck
99,a music suitable for a kip action
100,a music suitable for a seagull action
101,a music suitable for a Kip bent knee
102,a music suitable for a kip-swirl action
103,a music suitable for a somersault front pike
104,a music suitable for an elevator action
105,a music suitable for a somersub action
106,a music suitable for an aurora action
107,a music suitable for a subalina action
108,a music suitable for a subilarc action
109,a music suitable for a ballerina action
110,a music suitable for a lagoon action
111,a music suitable for a Gaviata action
112,a music suitable for a heron action
113,a music suitable for a butterfly action
114,a music suitable for a Neptunus action
115,a music suitable for a Catalina reverse
116,a music suitable for a side fishtail split
117,a music suitable for a Minerva action
118,a music suitable for a porpoise action
119,a music suitable for a front Ariana
120,a music suitable for a walkover front
121,a music suitable for a prawn action
122,a music suitable for a water drop action
123,a music suitable for a cyclone action
124,a music suitable for an Ipanema action
125,a music suitable for a Saturn action
126,a video of bad action performance without fitting music
127,a video of bad action performance with fitting music
128,a video of poor action performance without fitting music
129,a video of poor action performance with fitting music
130,a video of fair action performance without fitting music
131,a video of fair action performance with fitting music
132,a video of good action performance without fitting music
133,a video of good action performance with fitting music
134,a video of excellent action performance without fitting music
135,a video of excellent action performance with fitting music
136,a video of perfect action performance without fitting music
137,a video of perfect action performance with fitting music
138,a video of bad action performance
139,a video of poor action performance
140,a video of fair action performance
141,a video of good action performance
142,a video of excellent action performance
143,a video of perfect action performance
